# CIRIS Conformance evidence registry — EDITORIAL CC-claim <-> conformance-test mapping.
# This file is HAND-MAINTAINED (which clause a test establishes is a judgement call).
# The `status` column is NOT here: it is auto-derived by evidence/gen_cc_tests.py from
# the live suite and written to evidence/cc_tests.tsv. Add/adjust rows here; regenerate.
# Multiple test ids / freeze-gate vectors are comma-separated. '-' = no named freeze-gate vector.
# Columns:
cc_decimal_id	cc_claim_id	conformance_test_id(s)	freeze_gate_vector(s)
# CC 3.2 single-owner: the owner_of_json resolver shipped in persist 13.2.0 (green above); the reject-2nd-distinct-owner admission gate did NOT — CIRISPersist#378.
3.2	CC-3.2-single-owner-resolver	tests/test_551_single_owner.py::test_owner_of_resolves_to_single_owner	-
# reject-2nd-distinct-owner ADMISSION gate not enforced (owner_of_json resolver shipped, admission half didn't) — CIRISPersist#378.
3.2	CC-3.2-single-owner-admission-gate	tests/test_551_single_owner.py::test_second_distinct_owner_binding_is_rejected	-
# ── CC 1.0-final evidence sweep: 5 claims driven green on the persist 15.1.0 / verify 9.0.0 / edge 10.1.0 floor (were staged, test:CIRISConformance#59/#57 umbrella pointers). ──
2.1	CC-2.1-1plus4-frozen	tests/test_560_1plus4_freeze.py	JCS_1PLUS4
6.1.3	CC-6.1.3-canonicalization-boundary	tests/test_561_canonicalization_boundary.py	AggregationMetaV1
6.1.4	CC-6.1.4-freeze-57-vectors	tests/test_562_freeze57_vectors.py	AggregationMetaV1,WholenessWitness
5.2	CC-5.2-structural-invisibility	tests/test_570_structural_invisibility.py	-
5.4.3	CC-5.4.3-content-fragmentation	tests/test_571_scope_privacy_fragmentation.py	-
# ── CC 1.0-final evidence sweep, round 2: 4 substrate-seam claims driven green (were staged, pointed only at the now-CLOSED CIRISServer#155 umbrella — silent seam). Probed drivable on persist 15.1.0. ──
3.4.12	CC-3.4.12-adult-incapacity-capacity-gate	tests/test_572_capacity_incapacity_gate.py	-
3.4.9	CC-3.4.9-co-stewarded-multi-steward	tests/test_573_co_stewardship.py	-
5.3.2.2	CC-5.3.2.2-revocation-promotion	tests/test_574_revocation_promotion.py	-
2.6.1.4	CC-2.6.1.4-worked-canonicalization-attack	tests/test_575_worked_canonicalization.py	-
# ── CC 6.1.2.1.2 R9 residual CLOSED (CIRISConformance#71 / CIRISVerify#191 / CIRISEdge#328 / CIRISPersist#435).
# The multiplicity gate is the ONLY thing that catches 900 near-duplicates folded as distinct members at equal
# mass: they carry an HONEST n_eff==1000 and the dominance gate alone ADMITS them. v3 rejects: aggregation_meta_multiplicity.
6.1.2.1.2	CC-6.1.2.1.2-neff-dominance-and-multiplicity-gate	tests/test_542_dominance_gate.py,tests/test_541_ejection_routing.py::test_r9_near_duplicate_multiplicity_rejected	AggregationMetaV1
